indicator.id;indicator.long_name;indicator.description;indicator.code;indicator.unit_id
484;Проценты к получению (За отчетный период);;C489;7
263;Среднемесячная заработная плата работников организаций, в том числе по ОКВЭД Раздел Е Водоснабжение/ водоотведение, организация сбора ;;C266;20
1133;Темпы роста ВВП;введенно для транспорта/GIH;C1217;3
1134;Темпы роста ВВП на душу населения;введенно для транспорта/GIH;C1219;3
1135;Темпы роста ВГП;введенно для транспорта/GIH;C1221;3
1136;Темпы роста ВГП на душу населения;введенно для транспорта/GIH;C1222;3
991;Доходы регионального бюджета, в том числе: Плата за негативное воздействие на окружающую среду;Используется в стенде по экологии;C1073;7
992;Расходы регионального бюджета, в том числе: Охрана окружающей среды;Используется в стенде по экологии;C1074;7
1071;Доходы бюджета, в том числе: Плата за негативное воздействие на биоту, млн.руб;используется для экологии;C1131;
1073;Доходы бюджета, в том числе: Плата за негативное воздействие на землю, млн.руб;используется для экологии;C1132;
744;Инвестиции, всего C652+C653;В City Balance суммируется C652 (Приобретение с модернизацией) и C771 (Валовое накопление капитала);C781;7
53;Доходы городского бюджета, в том числе: Налоги на имущество;;C054;7
117;Численность обучающихся в общеобразовательных организациях;;C120;13
446;Заемные средства (На отчетную дату отчетного периода);;C451;7
472;Себестоимость продаж (За отчетный период);;C477;7
1137;Темпы роста количества поездок на автомобиле;введенно для транспорта/GIH;C1223;3
1138;Темпы роста количества поездок на общественном транспорте;введенно для транспорта/GIH;C1224;3
1139;Доля общественного транспорта в общем пассажиропотоке;введенно для транспорта/GIH;C1255;3
1140;Изменение количества поездок на общественном транспорте (GIH);введенно для транспорта/GIH;C1212;3
1141;Процент дополнительных поездок, связанных со сменой типа транспорт (автомобиль на общественный транспорт) (GIH);введенно для транспорта/GIH;C1215;3
1142;Изменение количества километров проходимых пешком на период реализации проекта (в рамках инерционного сценария), процент в год;введенно для транспорта/GIH;C1259;3
1143;Изменение количества километров проходимых пешком за первый год реализации проекта (в рамках инвестиционного сценария), процент в год;введенно для транспорта/GIH;C1260;3
1149;Средняя дальность поездки жителей города;введенно для транспорта/GIH;C1197;9
134;Число мест в коллективных средствах размещения (отели, гостиницы, хостелы);;C137;18
163;Мощность амбулаторно-поликлинических учреждений;;C166;22
834;Внутренняя площадь зданий необходимая для реализации проекта, торговая;;C904;14
19;Численность населения 16—17 лет;;C020;13
147;Общая площадь жилых помещений в ветхих и аварийных жилых домах;;C150;14
216;Рестораны, кафе, бары;;C219;4
202;Оборот розничной торговли;;C205;7
838;Выброшено в атмосферу загрязняющих веществ;;C908;16
118;Число объектов бытового обслуживания населения, оказывающих услуги, в т.ч.:;;C121;4
258;Среднемесячная заработная плата работников организаций, всего;;C261;20
1074;Доходы бюджета, в том числе: Плата за негативное воздействие на воду, млн.руб;используется для экологии;C1133;
1075;Расходы бюджета, в том числе: Охрана биоресурсов, млн.руб;используется для экологии;C1134;
13;Численность населения 0—2 лет;;C014;13
1078;Расходы не госорганов: Охрана воды,  млн.руб;используется для экологии;C1137;
1079;Расходы не госорганов: мусор,  млн.руб;используется для экологии;C1138;
1080;Расходы не госорганов: Охрана земли,  млн.руб;используется для экологии;C1139;
1081;Расходы не госорганов: Охрана биоресурсов,  млн.руб;используется для экологии;C1140;
55;Доходы городского бюджета, в том числе: Земельный налог;;C056;7
1082;Расходы не госорганов на охрану окр. среды,  млн.руб;используется для экологии;C1141;
1083;Инвестиции на окр.ср., млн.руб;используется для экологии;C1142;
1084;Доходы от платы за негативное воздействие, млн.руб;используется для экологии;C1143;
1085;Доля инвестиций в общих расхода на окр.ср., %;используется для экологии;C1144;
1086;Выбросы загр.веществ (автомобили), тонн;используется для экологии;C1145;
1087;Выбросы загр.веществ (стационарные), тонн;используется для экологии;C1146;
1088;Выбросы загрязняющих веществ на человека, т/чел;используется для экологии;C1147;
1089;Выбросы на площадь территории, т/кв.км;используется для экологии;C1148;
1090;Отношение платы за негативное воздействие к объемам выбросов, млн.руб/т;используется для экологии;C1149;
1091;Отношение всех расходов на ОС к объемам утилизации, млн.руб/т;используется для экологии;C1150;
1144;Изменение количества километров проходимых пешком за второй и последующие года реализации проекта (в рамках инвестиционного сценария), процентов в год;введенно для транспорта/GIH;C1261;3
1150;Количество сэкономленных км автомобилями;введенно для транспорта/GIH;C1243;9
606;Поступления арендных платежей, лицензионных платежей, роялти, комиссионных и иных аналогичных платежей(За отчетный год);;C635;7
619;от возврата предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам) (За отчетный год);;C648;7
620;дивидендов, процентов по долговым финансовым вложениям и аналогичных поступлений от долевого участия в других организациях (За отчетный год);;C649;7
432;БАЛАНС АКТИВ (На отчетную дату отчетного периода);;C435;7
1145;Изменение количества километров проезжаемых на велосипеде на период реализации проекта (в рамках инерционного сценария), процентов в год;введенно для транспорта/GIH;C1263;3
1146;Изменение количества километров проезжаемых на велосипеде за первый год реализации проекта (в рамках инвестиционного сценария), процентов в год;введенно для транспорта/GIH;C1264;3
1147;Изменение количества километров проезжаемых на велосипеде за второй и последующие года реализации проекта (в рамках инвестиционного сценария), процентов в год;введенно для транспорта/GIH;C1265;3
1148;Тип проекта в транспортной сфере;введенно для транспорта/GIH;C1256;69
916;За отчетный год Увеличение капитала - всего: (Резервный капитал);;C526;7
648;Прибыль от предпринимательской деятельности организации (За отчетный год);;C677;7
912;Прирост национального (городского) богатства, измеряемый в % по отношению к предыдущему или базовому году;;C710;3
54;Доходы городского бюджета, в том числе: Налог на имущество физических лиц;;C055;7
57;Доходы городского бюджета, в том числе: Государственная пошлина;;C058;7
914;Резервный капитал (На 31 декабря предыдущего года);;C446;7
690;Статус МСП;;C721;31
698;Количество кинотеатров;;C729;32
1151;Протяжённость строительства новой дороги;введенно для транспорта/GIH;C1257;9
1152;Среднее количество километров проходимых пешком за год на 1 жителя (на начало проекта);введенно для транспорта/GIH;C1258;9
1153;Среднее количество километров проезжаемых на велосипеде за год на 1 жителя (на начало проекта);введенно для транспорта/GIH;C1262;9
1154;Количество автобусов на маршруте;введенно для транспорта/GIH;C1226;32
1155;Количество автомобилей;введенно для транспорта/GIH;C1203;32
1156;Количество единиц подвижного состава общественного транспорта;введенно для транспорта/GIH;C1201;32
1157;Мощность подвижного состава;введенно для транспорта/GIH;C1202;32
1158;Транспортная подвижность 1 человека;введенно для транспорта/GIH;C1193;32
75;Расходы городского бюджета, в том числе: Охрана окружающей среды;;C076;7
78;Расходы городского бюджета, в том числе: Здравоохранение;;C079;7
146;Общая площадь жилых помещений;;C149;14
79;Расходы городского бюджета, в том числе: Физическая культура и спорт;;C080;7
74;Расходы городского бюджета, в том числе: Жилищно-коммунальное хозяйство;;C075;7
72;Расходы городского бюджета, в том числе: Транспорт;;C073;7
629;Поступления – всего(За отчетный год);;C658;7
1159;Количество поездок на автомобиле;введенно для транспорта/GIH;C1213;32
1160;Количество поездок на общественном транспорте;введенно для транспорта/GIH;C1214;32
1161;Пассажиропоток, общий;введенно для транспорта/GIH;C1194;32
1166;Расходы в транспортной сфере;введенно для транспорта/GIH;C1206;7
80;Расходы городского бюджета, в том числе: Социальная политика;;C081;7
77;Расходы городского бюджета, в том числе: Культура, кинематография;;C078;7
76;Расходы городского бюджета, в том числе: Образование;;C077;7
858;Гос. затраты;;C947;7
1046;Обеспеченность запасами;;C976;3
1092;Оборот общественного питания (без субъектов малого предпринимательства);;C1152;7
1093;Площадь зала обслуживания посетителей в объектах общественного питания;;C1153;14
226;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел Н Транспортировка и хранение;;C229;13
1113;Число субъектов малого и среднего предпринимательства в расчете на 10 тыс. человек населения;;C1173;
58;Доходы городского бюджета, в том числе: Доходы от использования имущества, находящегося в гос. и мун. собственности;;C059;7
59;Доходы городского бюджета, в том числе: Платежи при пользовании природными ресурсами;;C060;7
60;Доходы городского бюджета, в том числе: Плата за негативное воздействие на окружающую среду;;C061;7
61;Доходы городского бюджета, в том числе: Доходы от продажи материальных и нематериальных активов;;C062;7
69;Расходы городского бюджета, в том числе: Национальная экономика;;C070;7
67;Расходы городского бюджета, в том числе: Обслуживание государственного и муниципального долга;;C068;7
68;Расходы городского бюджета, в том числе: Национальная безопасность и правоохранительная деятельность;;C069;7
70;Расходы городского бюджета, в том числе: Другие вопросы в области национальной экономики;;C071;7
899;Число мест в объектах общественного питания;;C756;18
1124;Одиночное протяжение уличной канализационной сети, которая заменена и отремонтирована за отчетный год;;C1184;
71;Расходы городского бюджета, в том числе: Сельское хозяйство и рыболовство;;C072;7
905;Доля в секторе МСП по выручке;;C944;3
573;уменьшение номинальной стоимости акций (Собственные акции, выкупленные у акционеров);;C590;7
1187;Объём основных средств транспорта за единицу мощности;введенно для транспорта/GIH;C1210;63
1188;Постоянные расходы транспортных предприятий за 1 мощность подвижного состава;введенно для транспорта/GIH;C1248;63
1189;Выручка транспортных предприятий за 1 пассажира;введенно для транспорта/GIH;C1250;63
73;Расходы городского бюджета, в том числе: Дорожное хозяйство (дорожные фонды);;C074;7
62;Доходы городского бюджета, в том числе: Безвозмездные поступления;;C063;7
1096;Доля протяженности автодорог общего пользования местного значения, не отвечающих нормативным требованиям, в общей протяженности автомобильных дорог общего пользования местного значения;;C1156;
1097;Доля населения, проживающего в населенных пунктах, не имеющих регулярного автобусного и (или) железнодорожного сообщения с административным центром городского округа (муниципального района), в общей численности населения городского округа (муниципального района);;C1157;
1098;Площадь земельных участков, предоставленных для строительства объектов жилищного строительства, в отношении которых с даты принятия решения о предоставлении земельного участка или подписания протокола о результатах торгов (конкурсов, аукционов) не было получено разрешение на ввод в эксплуатацию в течение трех лет;;C1158;
1099;Площадь земельных участков, предоставленных для строительства иных объектов капитального строительства, в отношении которых с даты принятия решения о предоставлении земельного участка или подписания протокола о результатах торгов (конкурсов, аукционов) не было получено разрешение на ввод в эксплуатацию в течение пяти лет;;C1159;
1101;Доля основных фондов организаций муниципальной формы собственности, находящихся в стадии банкротства, в основных фондах организаций муниципальной формы собственности (на конец года;;C1161;
1115;Доля просроченной кредиторской задолженности по оплате труда (включая начисления на оплату труда) муниципальных учреждений в общем объеме расходов муниципального образования на оплату труда (включая начисления на оплату труда);;C1175;
1116;Доля прибыльных сельскохозяйственных организаций в общем их числе;;C1176;
1117;Численность городского населения по полу и возрасту на 1 января текущего года;;C1177;
1118;Численность сельского населения по полу и возрасту на 1 января текущего года;;C1178;
1119;Вывезено за год жидких коммунальных отходов (тыс. куб. м);;C1179;59
1120;Вывезено твердых коммунальных отходов;;C1180;60
1121;Вывезено твердых коммунальных отходов на объекты, используемые для обработки отходов (тыс. т);;C1181;60
1122;Общая протяженность улиц, проездов, набережных;;C1182;
1123;Количество автозаправочных станций (АЗС), расположенных на автомобильных дорогах общего пользования местного значения;;C1183;
1125;Общая площадь аварийного жилищного фонда;;C1185;
1126;Общая площадь расселенного аварийного жилищного фонда;;C1186;
689;Ставка рефинансирования Центрального Банка;;C719;3
702;Общая площадь спортивных залов;;C733;34
1102;Объем незавершенного в установленные сроки строительства, осуществляемого за счет бюджета городского округа (муниципального района;;C1162;
1103;Доля детей в возрасте 1–6 лет, состоящих на учете для определения в муниципальные дошкольные образовательные учреждения, в общей численности детей в возрасте 1–6 лет;;C1163;
1104;Удельная величина потребления электрической энергии муниципальными бюджетными учреждениями на одного человека населения;;C1164;
1190;Переменные расходы транспортных предприятий за 1 пассажиро-км;введенно для транспорта/GIH;C1249;68
1192;Объем инвестиций в транспортную сферу;введенно для транспорта/GIH;C1251;7
1105;Удельная величина потребления тепловой энергии муниципальными бюджетными учреждениями на 1 кв. м общей площади;;C1165;
1106;Удельная величина потребления горячей воды муниципальными бюджетными учреждениями на одного человека населения;;C1166;
1107;Удельная величина потребления холодной воды муниципальными бюджетными учреждениями на одного человека;;C1167;
901;Итого конечное использование;'Конечный спрос;C775;7
1108;Удельная величина потребления природного газа муниципальными бюджетными учреждениями на одного человека населения;;C1168;
1109;Площадь земельных участков, предоставленных для строительства, в расчете на 10 тысяч человек населения – всего;;C1169;
1110;Площадь земельных участков, предоставленных для жилищного строительства, индивидуального жилищного строительства и комплексного освоения в целях жилищного строительства, в расчете на 10 тысяч человек населения – всего;;C1170;
1111;Наличие в городском округе (муниципальном районе) утвержденного генерального плана городского округа (схема территориального планирования муниципального района);;C1171;
1112;Среднемесячная номинальная начисленная заработная плата работников крупных, средних предприятий и некоммерческих организаций городского округа (муниципального района);;C1172;
1114;Расходы бюджета муниципального образования на содержание работников органов местного самоуправления в расчете на одного жителя муниципального образования (2008 г., тыс. руб.);;C1174;
673;Наличие основных фондов на конец года по остаточной балансовой стоимости по коммерческим организациям муниципальной формы собственности;;C702;7
32;Среднегодовая численность постоянного населения;;C033;13
49;Доходы городского бюджета, в том числе: Налог на доходы физических лиц;;C050;7
50;Доходы городского бюджета, в том числе: Налоги на совокупный доход;;C051;7
51;Доходы городского бюджета, в том числе: Единый налог на вмененный доход для отдельных видов деятельности;;C052;7
951;Доходы городского бюджета, в том числе: Налог на прибыль организаций;Участвует в налоговых поступлениях местного бюджета;C857;7
187;Доля площади земельных участков, являющихся объектами налогообложения земельным налогом, в общей площади территории городского округа (м�;;C190;3
717;Численность лиц, обслуживаемых специализированными отделениями социально-медицинского обслуживания на дому граждан пожилого возраста и ;;C748;13
718;Численность лиц, обслуженных отделениями социального обслуживания на дому граждан пожилого возраста и инвалидов;;C749;13
721;Общая протяженность канализационной сети;;C754;19
12;Численность населения на 1 января текущего года;;C013;13
218;Среднесписочная численность работников организаций, всего;;C221;13
1076;Расходы бюджета, в том числе: Охрана воды,  млн.руб;используется для экологии;C1135;
1077;Расходы не госорганов: Охрана воздуха,  млн.руб;используется для экологии;C1136;
762;Жилищная обеспеченность (кв.м./чел.);;C804;41
1100;Доля многоквартирных домов, расположенных на земельных участках, в отношении которых осуществлен государственный кадастровый учет;;C1160;
1127;Рост численности населения;;C1187;13
1128;Площадь парков, м.кв;;C1188;14
1130; Нормативный срок окупаемости капитальных вложений, лет;;C1190;4
1129; Количество ночевок в коллективных средствах размещения;;C1189;4
1131;Число номеров в коллективных средствах размещения, шт;;C1191;32
776;Суммарный коэффициент рождаемости;;C822;8
14;Численность населения 3—5 лет;;C015;13
15;Численность населения 6 лет;;C016;13
16;Численность населения 7 лет;;C017;13
17;Численность населения 8—13 лет;;C018;13
324;Дебиторская задолженность, Раздел F Строительство;;C327;7
325;Дебиторская задолженность, Раздел G Торговля оптовая и розничная/ ремонт автотранспортных средств и мотоциклов;;C328;7
729;Торгово-транспортные наценки;;C763;7
840;Ставка кредитования;;C910;3
832;Площадь земельных участков необходимая для реализации проекта, прочих зон;;C902;45
299;Прибыль (убыток) до налогообложения отчётного года, Прибыль (убыток) до налогообложения прошлого года, Раздел А Сельское, лесное хозяйство;;C302;7
2;Рост реальных располагаемых денежных доходов населения;;C003;2
42;Смертность населения старше трудоспособного возраста;;C043;8
43;Протяженность автодорог общего пользования местного значения;;C044;9
44;Автомобильные дороги регионального значения, соответствующих нормативным требованиям;;C045;9
167;Объем соц. выплат населению и налогооблагаемых денежных доходов населению;;C170;7
826;Затраты натуральных ресурсов на производство продукции;;C892;43
597;Величина капитала на 31 декабря отчетного года (Уставный капитал);;C625;7
588;дивиденды (Собственные акции, выкупленные у акционеров);;C608;7
589;дивиденды (Добавочный капитал);;C609;7
1195;Пассажирооборот (транспортная работа), общественный транспорт;введенно для транспорта/GIH;C1200;70
1196;Количество поездок жителя в неделю;введенно для транспорта/GIH;C1252;32
1197;Курс евро;введенно для транспорта/GIH;C1234;20
1198;Соотношение выгод и затрат (BCR);введенно для транспорта/GIH;C1275;20
1199;Затраты на автомобиль;введенно для транспорта/GIH;C1232;67
903;Производственная мощность (в протяженности Д);;C832;7
212;Минимаркеты;;C215;4
194;Среднемесячная зар.плата работников муниципальных учреждений физической культуры и спорта;;C197;20
39;Население моложе трудоспособного возраста;;C040;13
41;Население старше трудоспособного возраста;;C042;13
45;Общая площадь города;;C046;21
46;Общая протяженность улиц, проездов, набережных;;C047;9
47;Общая протяженность освещенных частей улиц, проездов и набережных;;C048;9
48;Доходы местного бюджета, всего;;C049;7
64;Расходы местного бюджета, всего;;C065;7
85;Инвестиции в осн. капитал осуществляемые организациями (без мал. бизнеса);Ранее: Инвестиции в осн. капитал осуществляемые организациями (без мал. бизнеса). В ETL1 Инвестиции, всего — (на основе мунстата) C086+C087+C088;C087;7
36;Прибыло населения (миграция);;C037;13
37;Выбыло населения (миграция);;C038;13
84;Инвестиции в осн. капитал за счет средств городского / муниципального бюджета;;C086;7
91;Плавательные бассейны;;C093;4
92;Число детско-юношеских спортивных школ (включая филиала);;C094;4
93;Численность занимающихся в детско-юношеских спортивных школах;;C095;13
211;Супермаркеты;;C214;4
86;Инвестиции в осн. капитал организациями муниципальной формы собственности;;C088;7
96;Число семей, состоящих на учете в качестве нуждающихся в жилых помещ., в т.ч.:;;C098;15
774;Число занятых в сфере малого и среднего предпринимательства;;C818;13
913;Резервный капитал (На отчетную дату отчетного периода);;C445;7
97;Многодетные семьи на учете в качестве нуждающихся в жилых помещениях;;C099;15
102;Выданных разрешений на строительство;;C104;4
104;Затраты на охрану окружающей среды;;C106;7
672;Наличие основных фондов на конец года по полной учетной стоимости по некоммерческим организациям муниципальной формы собственности;;C701;7
911;Производительность труда;;C796;40
900;Промежуточный спрос;;C774;7
904;Производительность труда (затраты на человека);;C856;40
1203;Стоимость загрязнения от автобуса;введенно для транспорта/GIH;C1238;67
1204;Стоимость шумового загрязнения для автомобиля;введенно для транспорта/GIH;C1239;67
1205;Стоимость шумового загрязнения для автобуса;введенно для транспорта/GIH;C1240;67
794;Выручка проекта от международного сбыта;;C846;7
795;Затраты проекта;;C847;7
142;Одиночное протяжение уличной водопроводной сети, нуждающейся в замене;;C145;19
751;Реальные располагаемые доходы граждан;;C789;7
1209;ВГП на душу населения;введенно для транспорта/GIH;C1220;40
1210;Стоимость времени пассажира;введенно для транспорта/GIH;C1230;66
1211;Мультипликаторы экономического воздействия: Экономия времени на поездке на общественном транспорте (в транспорте и ожидание);введенно для транспорта/GIH;C1277;20
1212;Мультипликаторы экономического воздействия: Экономия времени на поездке на автомобиле;введенно для транспорта/GIH;C1278;20
1213;Мультипликаторы экономического воздействия: Экономия эксплуатационных затрат на автомобиле;введенно для транспорта/GIH;C1279;20
1214;Мультипликаторы экономического воздействия: Безопасность на дороге;введенно для транспорта/GIH;C1280;20
876;Доля отрасли в городе;;C966;3
227;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел I Деятельность гостиниц и предприятий общественного пита;;C230;13
228;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел J Деятельность в области информации и связи;;C231;13
229;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел K Деятельность финансовая и страховая;;C232;13
230;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел L Деятельность по операциям с недвижимым имуществом;;C233;13
231;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел M Деятельность профессиональная, научная и техническая;;C234;13
232;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел N Деятельность административная и сопутствующие дополни�;;C235;13
1034;Обеспеченность дошкольными образовательными организациями (РНГП);;C1008;3
178;Число общедоступных (публичных) библиотек;;C181;4
722;Доля населения, получившего жилые помещения и улучшившего жилищные условия в отчетном году, в общей численности населения, состоящего на у;;C755;3
882;Объем жилищного строительства;Он же I016, не используется;C985;34
1033;Обеспеченность бассейнами;;C1018;3
233;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел O Государственное управление и обеспечение военной безоп;;C236;13
674;Наличие основных фондов на конец года по остаточной балансовой стоимости по некоммерческим организациям муниципальной формы собственнос;;C703;7
264;Среднемесячная заработная плата работников организаций, в том числе по ОКВЭД Раздел F Строительство;;C267;20
222;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел D Обеспечение электрической энергией, газом и паром;;C225;13
1231;Стоимость реконструкции 1 полосы 1 км дорожного полотна;введенно для транспорта/GIH;C1291;71
1232;Затраты на строительство или реконструкцию дороги (GIH);введенно для транспорта/GIH;C1292;7
1233;Чистая прибыль проекта (GIH);введенно для транспорта/GIH;C1293;7
234;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел P Образование;;C237;13
235;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел Q Деятельность в области здравоохранения и социальных ус�;;C238;13
236;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел R Деятельность в области культуры, спорта, организации до�;;C239;13
